Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
262,0,0x110121,0,172202880,11192
263,0,0x110121,0,172858240,11192
264,0,0x110121,0,173513600,11191
265,0,0x110121,0,174168960,11174
266,0,0x110121,0,174824320,11190
267,0,0x110121,0,175479680,11188
268,0,0x110121,0,176135040,11198
269,0,0x110121,0,176790400,9415
270,0,0x110121,0,177445760,11176
271,0,0x110121,0,178101120,11186
272,0,0x110121,0,178756480,9295
273,0,0x110121,0,179411840,11175
274,0,0x110121,0,180067200,11184
275,0,0x110121,0,180722560,11245
276,0,0x110121,0,181377920,11187
277,0,0x110121,0,182033280,11188
278,0,0x110121,0,182688640,11783
279,0,0x110121,0,183344000,11185
280,0,0x110121,0,183999360,11189
281,0,0x110121,0,184654720,11190
282,0,0x110121,0,185310080,11192
283,0,0x110121,0,185965440,11186
284,0,0x110121,0,186620800,11190
285,0,0x110121,0,187276160,11919
286,0,0x110121,0,187931520,11190
287,0,0x110121,0,188586880,11187
288,0,0x110121,0,189242240,11187
289,0,0x110121,0,189897600,11181
290,0,0x110121,0,190552960,11185
291,0,0x110121,0,191208320,11189
292,0,0x110121,0,191863680,11181
293,0,0x110121,0,192519040,11186
294,0,0x110121,0,193174400,11175
295,0,0x110121,0,193829760,11185
296,0,0x110121,0,194485120,10587
297,0,0x110121,0,195140480,11186
298,0,0x110121,0,195795840,11187
299,0,0x110121,0,196451200,11678
300,0,0x110121,0,197106560,11186
301,0,0x110121,0,197761920,11192
302,0,0x110121,0,198417280,11178
303,0,0x110121,0,199072640,11200
304,0,0x110121,0,199728000,11193
305,0,0x110121,0,200383360,11185
306,0,0x110121,0,201038720,11178
307,0,0x110121,0,201694080,11183
308,0,0x110121,0,202349440,11192
309,0,0x110121,0,203004800,11196
310,0,0x110121,0,203660160,11182
311,0,0x110121,0,204315520,9287
312,0,0x110121,0,204970880,11183
313,0,0x110121,0,205626240,11189
314,0,0x110121,0,206281600,11248
315,0,0x110121,0,206936960,11194
316,0,0x110121,0,207592320,11193
317,0,0x110121,0,208247680,11196
318,0,0x110121,0,208903040,11188
319,0,0x110121,0,209558400,11199
320,0,0x110121,0,210213760,11194
321,0,0x110121,0,210869120,11181
322,0,0x110121,0,211524480,11184
323,0,0x110121,0,212179840,11196
324,0,0x110121,0,212835200,11179
325,0,0x110121,0,213490560,11196
326,0,0x110121,0,214145920,11190
327,0,0x110121,0,214801280,11186
328,0,0x110121,0,215456640,11187
329,0,0x110121,0,216112000,11189
330,0,0x110121,0,216767360,11190
331,0,0x110121,0,217422720,11196
332,0,0x110121,0,218078080,11186
333,0,0x110121,0,218733440,11195
334,0,0x110121,0,219388800,11189
335,0,0x110121,0,220044160,11191
336,0,0x110121,0,220699520,11193
337,0,0x110121,0,221354880,10995
338,0,0x110121,0,222010240,11182
