sample,adc0,adc1,adc2,adc3
 466,1407,256,0,0
 467,1407,255,0,0
 468,1408,257,0,0
 469,1407,255,0,0
 470,1407,255,0,0
 471,1407,256,0,0
 472,1407,255,0,0
 473,1407,256,0,0
 474,1407,256,0,0
 475,1407,256,0,0
 476,1407,256,0,0
 477,1407,257,0,0
 478,1408,257,0,0
 479,1408,256,0,0
 480,1407,256,0,0
 481,1407,255,0,0
 482,1407,257,0,0
 483,1407,257,0,0
 484,1407,257,0,0
 485,1407,256,0,0
 486,1407,256,0,0
 487,1406,257,0,0
 488,1407,256,0,0
 489,1407,256,0,0
 490,1408,256,0,0
 491,1407,256,0,0
 492,1408,256,0,0
 493,1407,256,0,0
 494,1407,256,0,0
 495,1407,255,0,0
 496,1408,255,0,0
 497,1409,256,0,0
 498,1408,257,0,0
 499,1407,256,0,0
 500,1408,256,0,0
 501,1407,256,0,0
 502,1408,256,0,0
 503,1407,255,0,0
 504,1407,255,0,0
 505,1408,255,0,0
 506,1407,256,0,0
 507,1408,255,0,0
 508,1407,255,0,0
 509,1408,256,0,0
 510,1407,257,0,0
 511,1408,256,0,0
 512,1407,255,0,0
 513,1407,256,0,0
 514,1407,256,0,0
 515,1407,256,0,0
 516,1407,256,0,0
 517,1407,256,0,0
 518,1408,256,0,0
 519,1407,256,0,0
 520,1408,255,0,0
 521,1407,255,0,0
 522,1407,255,0,0
 523,1408,256,0,0
 524,1407,255,0,0
 525,1407,256,0,0
 526,1407,255,0,0
 527,1407,256,0,0
 528,1407,255,0,0
 529,1407,256,0,0
 530,1407,256,0,0
 531,1407,255,0,0
 532,1407,255,0,0
 533,1407,255,0,0
 534,1407,256,0,0
 535,1407,255,0,0
 536,1407,254,0,0
 537,1407,256,0,0
 538,1407,256,0,0
 539,1407,256,0,0
 540,1407,255,0,0
 541,1407,256,0,0
 542,1407,257,0,0
 543,1407,256,0,0
 544,1407,255,0,0
 545,1407,256,0,0
 546,1407,256,0,0
 547,1407,256,0,0
 548,1408,256,0,0
 549,1407,256,0,0
 550,1407,256,0,0
 551,1407,256,0,0
 552,1407,256,0,0
 553,1406,255,0,0
 554,1407,256,0,0
 555,1407,255,0,0
 556,1407,255,0,0
 557,1407,255,0,0
 558,1407,256,0,0
 559,1407,255,0,0
 560,1406,255,0,0
 561,1407,255,0,0
 562,1407,255,0,0
 563,1407,256,0,0
 564,1407,256,0,0
 565,1407,256,0,0
 566,1406,257,0,0
 567,1407,255,0,0
 568,1407,256,0,0
 569,1407,256,0,0
 570,1407,256,0,0
 571,1408,256,0,0
 572,1407,255,0,0
 573,1408,257,0,0
 574,1407,256,0,0
 575,1407,254,0,0
 576,1407,255,0,0
 577,1407,256,0,0
 578,1408,256,0,0
 579,1407,256,0,0
 580,1407,257,0,0
 581,1407,257,0,0
 582,1407,255,0,0
 583,1408,256,0,0
 584,1407,257,0,0
 585,1408,256,0,0
 586,1407,256,0,0
 587,1407,256,0,0
 588,1407,256,0,0
 589,1408,257,0,0
 590,1407,256,0,0
 591,1407,256,0,0
 592,1407,257,0,0
 593,1407,256,0,0
 594,1406,256,0,0
 595,1407,256,0,0
 596,1407,257,0,0
 597,1407,256,0,0
 598,1407,255,0,0
 599,1407,255,0,0
 600,1407,256,0,0
 601,1407,255,0,0
 602,1407,256,0,0
 603,1407,256,0,0
 604,1407,256,0,0
 605,1407,256,0,0
 606,1407,256,0,0
 607,1407,256,0,0
 608,1407,255,0,0
 609,1407,256,0,0
 610,1407,255,0,0
 611,1407,256,0,0
 612,1407,256,0,0
 613,1407,256,0,0
 614,1407,257,0,0
 615,1407,256,0,0
 616,1407,256,0,0
 617,1407,257,0,0
 618,1407,256,0,0
 619,1407,257,0,0
 620,1407,256,0,0
 621,1408,257,0,0
 622,1407,256,0,0
 623,1407,256,0,0
 624,1407,256,0,0
