sample,adc0,adc1,adc2,adc3
 338,54850,1314,1283,1202
 339,54846,1310,1283,1204
 340,54847,1310,1282,1200
 341,54848,1310,1285,1201
 342,54841,1313,1283,1202
 343,54847,1311,1284,1202
 344,54842,1312,1281,1202
 345,54848,1312,1281,1199
 346,54842,1312,1282,1202
 347,54848,1308,1282,1203
 348,54851,1310,1282,1202
 349,54848,1309,1283,1202
 350,54851,1311,1280,1204
 351,54849,1309,1283,1201
 352,54849,1312,1281,1203
 353,54853,1309,1284,1203
 354,109846,1311,1283,1202
 355,98340,1310,1282,1203
 356,93482,1312,1281,1202
 357,89264,1310,1283,1203
 358,85479,1311,1281,1201
 359,82083,1311,1284,1203
 360,76295,1312,1283,1200
 361,73821,1310,1284,1202
 362,67790,1311,1282,1202
 363,66170,1311,1282,1203
 364,64690,1310,1283,1200
 365,63376,1311,1285,1201
 366,62193,1311,1282,1203
 367,60160,1311,1283,1203
 368,58522,1312,1283,1203
 369,57823,1310,1283,1202
 370,57206,1311,1283,1200
 371,56639,1311,1284,1205
 372,56129,1313,1283,1202
 373,55254,1313,1283,1203
 374,54885,1309,1283,1203
 375,54262,1312,1283,1201
 376,53768,1311,1283,1203
 377,53566,1311,1284,1200
 378,53372,1311,1284,1203
 379,53203,1314,1284,1202
 380,53057,1310,1285,1202
 381,52806,1312,1283,1201
 382,52706,1311,1284,1201
 383,52532,1314,1282,1203
 384,52416,1310,1284,1204
 385,52359,1313,1282,1202
 386,52314,1311,1283,1201
 387,52288,1312,1281,1201
 388,52245,1311,1283,1201
 389,52198,1312,1283,1202
 390,52188,1309,1285,1202
 391,52166,1313,1282,1202
 392,52160,1311,1283,1202
 393,52151,1312,1283,1202
 394,52151,1309,1284,1200
 395,52156,1313,1283,1202
 396,52150,1311,1282,1201
 397,52168,1313,1283,1203
 398,52183,1312,1283,1203
 399,52203,1313,1284,1203
 400,52226,1310,1283,1201
 401,52248,1312,1283,1203
 402,52260,1312,1283,1203
 403,52275,1312,1284,1202
 404,52292,1311,1283,1202
 405,52322,1313,1283,1203
 406,52341,1312,1280,1204
 407,52375,1310,1284,1202
 408,52408,1311,1282,1203
 409,52421,1310,1283,1203
 410,52438,1311,1281,1204
 411,52463,1309,1284,1201
 412,52487,1313,1282,1203
 413,52515,1309,1283,1204
 414,52537,1312,1283,1202
 415,52577,1310,1282,1201
 416,52617,1312,1283,1204
 417,52632,1310,1286,1201
 418,52656,1313,1285,1203
 419,52670,1309,1284,1200
 420,52683,1310,1282,1203
 421,52713,1310,1285,1201
 422,52735,1312,1284,1202
 423,52772,1311,1282,1204
 424,52814,1312,1283,1203
 425,52824,1310,1283,1200
 426,52848,1312,1285,1201
 427,52865,1310,1283,1202
 428,52880,1311,1284,1203
 429,52910,1311,1284,1202
 430,52927,1313,1283,1202
 431,52964,1311,1283,1204
 432,52992,1310,1284,1201
 433,53005,1310,1284,1202
 434,53026,1314,1283,1203
 435,53041,1309,1283,1202
 436,53063,1311,1281,1199
 437,53085,1309,1284,1202
 438,53107,1311,1284,1202
 439,53135,1311,1283,1202
 440,53177,1309,1282,1203
 441,53188,1312,1284,1201
 442,53203,1310,1283,1201
 443,53220,1312,1283,1202
 444,53236,1310,1283,1202
 445,53262,1313,1284,1201
 446,53277,1311,1284,1205
 447,53301,1312,1281,1201
 448,53333,1309,1284,1202
 449,53333,1312,1282,1202
 450,53352,1311,1282,1204
 451,53363,1312,1281,1200
 452,53374,1310,1285,1202
 453,53395,1314,1282,1201
 454,53409,1311,1283,1202
 455,53434,1311,1282,1202
 456,53463,1309,1284,1203
 457,53470,1312,1282,1202
 458,53477,1311,1283,1203
 459,53494,1312,1282,1202
 460,53507,1309,1284,1203
 461,53531,1313,1282,1203
 462,53535,1310,1283,1203
 463,53570,1312,1283,1202
 464,53592,1310,1285,1203
 465,53599,1311,1282,1202
 466,53612,1308,1283,1202
 467,53621,1310,1282,1203
 468,53639,1311,1284,1204
 469,53648,1311,1282,1202
 470,53658,1311,1283,1203
 471,53694,1311,1284,1203
 472,53700,1311,1283,1201
 473,53717,1311,1282,1202
 474,53718,1310,1284,1200
 475,53747,1311,1283,1205
 476,53752,1311,1283,1202
 477,53761,1311,1284,1203
 478,53778,1309,1284,1203
 479,53799,1311,1283,1202
 480,53816,1311,1284,1202
 481,53825,1312,1282,1202
 482,53834,1309,1285,1201
 483,53835,1312,1282,1203
 484,53842,1310,1283,1202
 485,53863,1313,1282,1203
 486,53866,1310,1283,1202
 487,53893,1312,1283,1200
 488,53899,1311,1282,1203
 489,53912,1312,1284,1200
 490,53923,1312,1283,1203
 491,53927,1312,1284,1200
 492,53941,1312,1280,1204
 493,53964,1312,1283,1202
 494,53961,1314,1282,1202
 495,53993,1309,1284,1201
 496,53999,1312,1283,1204
 497,54006,1311,1284,1200
 498,54017,1312,1282,1201
 499,54025,1312,1282,1200
 500,54024,1312,1282,1201
 501,54043,1309,1283,1202
 502,54048,1313,1282,1202
 503,54068,1309,1284,1203
 504,54080,1312,1282,1203
 505,54087,1309,1282,1200
 506,54085,1312,1283,1202
 507,54097,1310,1284,1201
 508,54106,1312,1284,1201
 509,54123,1310,1283,1202
 510,54132,1312,1284,1200
 511,54148,1310,1283,1202
 512,54160,1313,1283,1200
 513,54153,1308,1282,1202
 514,54150,1311,1283,1201
 515,54156,1311,1283,1201
 516,54168,1312,1283,1200
 517,54169,1309,1283,1202
 518,54186,1312,1283,1201
 519,54196,1310,1282,1204
 520,54203,1311,1284,1201
 521,54207,1309,1283,1202
 522,54212,1311,1283,1202
 523,54226,1310,1281,1203
 524,54226,1312,1284,1202
 525,54243,1311,1283,1202
 526,54249,1311,1281,1201
 527,54267,1309,1283,1201
 528,54273,1312,1283,1203
 529,54278,1310,1284,1201
 530,54281,1312,1281,1203
 531,54280,1309,1283,1201
 532,54291,1313,1282,1202
 533,54306,1312,1283,1201
 534,54307,1312,1284,1202
 535,54322,1310,1284,1202
 536,54319,1312,1283,1203
 537,54323,1311,1284,1203
 538,54327,1314,1286,1202
 539,54333,1311,1284,1201
 540,54335,1312,1283,1203
 541,54343,1311,1284,1203
 542,54346,1312,1283,1200
 543,54364,1311,1283,1202
 544,54358,1310,1283,1200
 545,54377,1311,1284,1203
 546,54374,1311,1285,1202
 547,54382,1310,1284,1202
 548,54375,1313,1282,1201
 549,54379,1311,1283,1203
 550,54386,1309,1284,1202
 551,54409,1313,1282,1202
 552,54413,1311,1283,1202
 553,54413,1312,1283,1202
 554,54415,1310,1283,1203
 555,54415,1310,1282,1202
 556,54419,1311,1284,1201
 557,54434,1311,1283,1203
 558,54433,1311,1284,1203
 559,54450,1311,1283,1199
 560,54450,1310,1283,1202
 561,54452,1313,1282,1202
 562,54460,1309,1283,1203
 563,54463,1312,1283,1201
 564,54455,1310,1283,1203
 565,54465,1311,1282,1200
 566,54468,1312,1284,1204
 567,54479,1311,1284,1203
 568,54489,1313,1283,1203
